Transition Profile during evaluation with reward shaping:
Q-table shape: (10, 10, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [5, 5, 6, 7]
Bins length: 4
Bins: [array([  0.,  58., 116., 174., 232., 290.]), array([1.000000e-02, 5.998080e+02, 1.199606e+03, 1.799404e+03,
       2.399202e+03, 2.999000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 1000
State: [ 0.  13.2  1.   1. ], Action: 0, Reward: -0.0, Next state: [ 0.   13.14  2.    1.  ]
State: [ 0.   13.14  2.    1.  ], Action: 0, Reward: -0.0, Next state: [ 0.   11.83  3.    1.  ]
State: [ 0.   11.83  3.    1.  ], Action: 0, Reward: -0.0, Next state: [0.   9.49 4.   1.  ]
State: [0.   9.49 4.   1.  ], Action: 0, Reward: -0.0, Next state: [0.   8.63 5.   1.  ]
State: [0.   8.63 5.   1.  ], Action: 0, Reward: -0.0, Next state: [0.   7.12 6.   1.  ]
State: [0.   7.12 6.   1.  ], Action: 0, Reward: -0.0, Next state: [0.   4.06 7.   1.  ]
State: [0.   4.06 7.   1.  ], Action: 0, Reward: -0.0, Next state: [0. 1. 8. 1.]
State: [0. 1. 8. 1.], Action: 0, Reward: -0.0, Next state: [0.  8.4 9.  1. ]
State: [0.  8.4 9.  1. ], Action: 0, Reward: -0.0, Next state: [ 0.    9.11 10.    1.  ]
State: [ 0.    9.11 10.    1.  ], Action: 0, Reward: -0.0, Next state: [ 0.   10.18 11.    1.  ]
State: [ 0.   10.18 11.    1.  ], Action: 0, Reward: -0.0, Next state: [ 0.   13.56 12.    1.  ]
State: [ 0.   13.56 12.    1.  ], Action: 0, Reward: -0.0, Next state: [ 0.   18.02 13.    1.  ]
State: [ 0.   18.02 13.    1.  ], Action: 0, Reward: -180.2, Next state: [10.   15.02 14.    1.  ]
State: [10.   15.02 14.    1.  ], Action: 0, Reward: -150.2, Next state: [20.   12.58 15.    1.  ]
State: [20.   12.58 15.    1.  ], Action: 0, Reward: -125.8, Next state: [30.   10.18 16.    1.  ]
State: [30.   10.18 16.    1.  ], Action: 0, Reward: -101.8, Next state: [40.    9.81 17.    1.  ]
State: [40.    9.81 17.    1.  ], Action: 0, Reward: -98.10000000000001, Next state: [50.   18.79 18.    1.  ]
State: [50.   18.79 18.    1.  ], Action: 0, Reward: -187.89999999999998, Next state: [60.  22.7 19.   1. ]
State: [60.  22.7 19.   1. ], Action: 0, Reward: -227.0, Next state: [70.   30.06 20.    1.  ]
State: [70.   30.06 20.    1.  ], Action: 0, Reward: -300.59999999999997, Next state: [80.  27.3 21.   1. ]
State: [80.  27.3 21.   1. ], Action: 0, Reward: -273.0, Next state: [90.   23.93 22.    1.  ]
State: [90.   23.93 22.    1.  ], Action: 0, Reward: -239.3, Next state: [100.    33.49  23.     1.  ]
State: [100.    33.49  23.     1.  ], Action: 0, Reward: -334.90000000000003, Next state: [110.    31.06  24.     1.  ]
State: [110.    31.06  24.     1.  ], Action: 0, Reward: -310.59999999999997, Next state: [ 0. 23.  1.  2.]
State: [ 0. 23.  1.  2.], Action: 0, Reward: -0.0, Next state: [ 0.   17.45  2.    2.  ]
State: [ 0.   17.45  2.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   19.12  3.    2.  ]
State: [ 0.   19.12  3.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   12.76  4.    2.  ]
State: [ 0.   12.76  4.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   10.19  5.    2.  ]
State: [ 0.   10.19  5.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   11.99  6.    2.  ]
State: [ 0.   11.99  6.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   15.65  7.    2.  ]
State: [ 0.   15.65  7.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.  23.5  8.   2. ]
State: [ 0.  23.5  8.   2. ], Action: 0, Reward: -0.0, Next state: [ 0.  28.9  9.   2. ]
State: [ 0.  28.9  9.   2. ], Action: 0, Reward: -0.0, Next state: [ 0.   37.12 10.    2.  ]
State: [ 0.   37.12 10.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   41.82 11.    2.  ]
State: [ 0.   41.82 11.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0.   44.69 12.    2.  ]
State: [ 0.   44.69 12.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0. 47. 13.  2.]
State: [ 0. 47. 13.  2.], Action: 0, Reward: -470.0, Next state: [10.   41.15 14.    2.  ]
State: [10.   41.15 14.    2.  ], Action: 0, Reward: -411.5, Next state: [20.   39.25 15.    2.  ]
State: [20.   39.25 15.    2.  ], Action: 0, Reward: -392.5, Next state: [30.   34.95 16.    2.  ]
State: [30.   34.95 16.    2.  ], Action: 0, Reward: -349.5, Next state: [40.   37.26 17.    2.  ]
State: [40.   37.26 17.    2.  ], Action: 0, Reward: -372.59999999999997, Next state: [50.   46.84 18.    2.  ]
State: [50.   46.84 18.    2.  ], Action: 0, Reward: -468.40000000000003, Next state: [60.   56.49 19.    2.  ]
State: [60.   56.49 19.    2.  ], Action: 0, Reward: -564.9, Next state: [70.   56.05 20.    2.  ]
State: [70.   56.05 20.    2.  ], Action: 0, Reward: -560.5, Next state: [80.  45.5 21.   2. ]
State: [80.  45.5 21.   2. ], Action: 0, Reward: -455.0, Next state: [90.   39.32 22.    2.  ]
State: [90.   39.32 22.    2.  ], Action: 0, Reward: -393.2, Next state: [100.  43.  23.   2.]
State: [100.  43.  23.   2.], Action: 0, Reward: -430.0, Next state: [110.    41.07  24.     2.  ]
State: [110.    41.07  24.     2.  ], Action: 0, Reward: -410.7, Next state: [ 0.   39.44  1.    3.  ]
State: [ 0.   39.44  1.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   31.98  2.    3.  ]
State: [ 0.   31.98  2.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0. 30.  3.  3.]
State: [ 0. 30.  3.  3.], Action: 0, Reward: -0.0, Next state: [ 0.   27.07  4.    3.  ]
State: [ 0.   27.07  4.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   19.18  5.    3.  ]
State: [ 0.   19.18  5.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   17.51  6.    3.  ]
State: [ 0.   17.51  6.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   17.03  7.    3.  ]
State: [ 0.   17.03  7.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0. 21.  8.  3.]
State: [ 0. 21.  8.  3.], Action: 0, Reward: -0.0, Next state: [ 0.   28.23  9.    3.  ]
State: [ 0.   28.23  9.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   35.01 10.    3.  ]
State: [ 0.   35.01 10.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0. 40. 11.  3.]
State: [ 0. 40. 11.  3.], Action: 0, Reward: -0.0, Next state: [ 0.   44.18 12.    3.  ]
State: [ 0.   44.18 12.    3.  ], Action: 0, Reward: -0.0, Next state: [ 0.   47.21 13.    3.  ]
State: [ 0.   47.21 13.    3.  ], Action: 0, Reward: -472.1, Next state: [10.   41.55 14.    3.  ]
State: [10.   41.55 14.    3.  ], Action: 0, Reward: -415.5, Next state: [20.   36.54 15.    3.  ]
State: [20.   36.54 15.    3.  ], Action: 0, Reward: -365.4, Next state: [30.  33.2 16.   3. ]
State: [30.  33.2 16.   3. ], Action: 0, Reward: -332.0, Next state: [40.   26.53 17.    3.  ]
State: [40.   26.53 17.    3.  ], Action: 0, Reward: -265.3, Next state: [50.  44.6 18.   3. ]
State: [50.  44.6 18.   3. ], Action: 0, Reward: -446.0, Next state: [60.   56.85 19.    3.  ]
State: [60.   56.85 19.    3.  ], Action: 0, Reward: -568.5, Next state: [70.   57.75 20.    3.  ]
State: [70.   57.75 20.    3.  ], Action: 0, Reward: -577.5, Next state: [80.   49.66 21.    3.  ]
State: [80.   49.66 21.    3.  ], Action: 0, Reward: -496.59999999999997, Next state: [90.   39.67 22.    3.  ]
State: [90.   39.67 22.    3.  ], Action: 0, Reward: -396.70000000000005, Next state: [100.    43.55  23.     3.  ]
State: [100.    43.55  23.     3.  ], Action: 0, Reward: -435.5, Next state: [110.    39.34  24.     3.  ]
State: [110.    39.34  24.     3.  ], Action: 0, Reward: -393.40000000000003, Next state: [ 0.   37.15  1.    4.  ]
State: [ 0.   37.15  1.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   33.47  2.    4.  ]
State: [ 0.   33.47  2.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0. 28.  3.  4.]
State: [ 0. 28.  3.  4.], Action: 0, Reward: -0.0, Next state: [ 0.   21.29  4.    4.  ]
State: [ 0.   21.29  4.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   16.92  5.    4.  ]
State: [ 0.   16.92  5.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0. 28.  6.  4.]
State: [ 0. 28.  6.  4.], Action: 0, Reward: -0.0, Next state: [ 0.   36.43  7.    4.  ]
State: [ 0.   36.43  7.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   59.47  8.    4.  ]
State: [ 0.   59.47  8.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   59.73  9.    4.  ]
State: [ 0.   59.73  9.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.  62.1 10.   4. ]
State: [ 0.  62.1 10.   4. ], Action: 0, Reward: -0.0, Next state: [ 0.   62.74 11.    4.  ]
State: [ 0.   62.74 11.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   62.65 12.    4.  ]
State: [ 0.   62.65 12.    4.  ], Action: 0, Reward: -0.0, Next state: [ 0.   62.51 13.    4.  ]
State: [ 0.   62.51 13.    4.  ], Action: 0, Reward: -625.1, Next state: [10.   59.92 14.    4.  ]
State: [10.   59.92 14.    4.  ], Action: 0, Reward: -599.2, Next state: [20. 56. 15.  4.]
State: [20. 56. 15.  4.], Action: 0, Reward: -560.0, Next state: [30.   49.67 16.    4.  ]
State: [30.   49.67 16.    4.  ], Action: 0, Reward: -496.70000000000005, Next state: [40.  54.4 17.   4. ]
