Transition Profile during evaluationwithout reward shaping:
Q-table shape: (5, 5, 6, 7, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week']
State bin size: [10, 10, 6, 7]
Bins length: 4
Bins: [array([  0.,  29.,  58.,  87., 116., 145., 174., 203., 232., 261., 290.]), array([1.000000e-02, 2.500090e+02, 5.000080e+02, 7.500070e+02,
       1.000006e+03, 1.250005e+03, 1.500004e+03, 1.750003e+03,
       2.000002e+03, 2.250001e+03, 2.500000e+03]), array([ 1.,  5.,  9., 13., 17., 21., 25.]), array([0.        , 0.85714286, 1.71428571, 2.57142857, 3.42857143,
       4.28571429, 5.14285714, 6.        ])]
Discount rate: 0.95
Small reward: 50000
Large reward: 100000
Learning rate: 0.05
N simulations: 10
State: [ 0.   24.31  1.    1.  ], Action: 1, Reward: -243.1, Next state: [10.   24.31  2.    1.  ]
State: [10.   24.31  2.    1.  ], Action: 1, Reward: -243.1, Next state: [20.   21.71  3.    1.  ]
State: [20.   21.71  3.    1.  ], Action: 1, Reward: -217.10000000000002, Next state: [30.    8.42  4.    1.  ]
State: [30.    8.42  4.    1.  ], Action: 0, Reward: -0.0, Next state: [3.e+01 1.e-02 5.e+00 1.e+00]
State: [3.e+01 1.e-02 5.e+00 1.e+00], Action: 0, Reward: -0.0, Next state: [3.e+01 1.e-02 6.e+00 1.e+00]
State: [3.e+01 1.e-02 6.e+00 1.e+00], Action: 2, Reward: -0.1, Next state: [4.e+01 2.e-02 7.e+00 1.e+00]
State: [4.e+01 2.e-02 7.e+00 1.e+00], Action: 2, Reward: -0.2, Next state: [5.e+01 1.e-02 8.e+00 1.e+00]
State: [5.e+01 1.e-02 8.e+00 1.e+00], Action: 2, Reward: -0.1, Next state: [6.e+01 1.e-02 9.e+00 1.e+00]
State: [6.e+01 1.e-02 9.e+00 1.e+00], Action: 0, Reward: -0.0, Next state: [60.    6.31 10.    1.  ]
State: [60.    6.31 10.    1.  ], Action: 0, Reward: -0.0, Next state: [60.    7.81 11.    1.  ]
State: [60.    7.81 11.    1.  ], Action: 0, Reward: -0.0, Next state: [60.    9.31 12.    1.  ]
State: [60.    9.31 12.    1.  ], Action: 0, Reward: -0.0, Next state: [60.  21.7 13.   1. ]
State: [60.  21.7 13.   1. ], Action: 0, Reward: -0.0, Next state: [60.   14.01 14.    1.  ]
State: [60.   14.01 14.    1.  ], Action: 0, Reward: -0.0, Next state: [60. 15. 15.  1.]
State: [60. 15. 15.  1.], Action: 0, Reward: -0.0, Next state: [60. 10. 16.  1.]
State: [60. 10. 16.  1.], Action: 0, Reward: -0.0, Next state: [60.    8.17 17.    1.  ]
State: [60.    8.17 17.    1.  ], Action: 0, Reward: -0.0, Next state: [60.   27.77 18.    1.  ]
State: [60.   27.77 18.    1.  ], Action: 0, Reward: -0.0, Next state: [60.   37.99 19.    1.  ]
State: [60.   37.99 19.    1.  ], Action: 0, Reward: -379.90000000000003, Next state: [70.   33.11 20.    1.  ]
State: [70.   33.11 20.    1.  ], Action: 0, Reward: -331.1, Next state: [80.   37.99 21.    1.  ]
State: [80.   37.99 21.    1.  ], Action: 0, Reward: -379.90000000000003, Next state: [90. 33. 22.  1.]
State: [90. 33. 22.  1.], Action: 0, Reward: -330.0, Next state: [100.    36.48  23.     1.  ]
State: [100.    36.48  23.     1.  ], Action: 0, Reward: -364.79999999999995, Next state: [110.    30.65  24.     1.  ]
State: [110.    30.65  24.     1.  ], Action: 0, Reward: -306.5, Next state: [ 0.   16.01  1.    2.  ]
State: [ 0.   16.01  1.    2.  ], Action: 0, Reward: -0.0, Next state: [ 0. 11.  2.  2.]
State: [ 0. 11.  2.  2.], Action: 0, Reward: -0.0, Next state: [0.   9.01 3.   2.  ]
State: [0.   9.01 3.   2.  ], Action: 0, Reward: -0.0, Next state: [0.  7.5 4.  2. ]
State: [0.  7.5 4.  2. ], Action: 0, Reward: -0.0, Next state: [0. 9. 5. 2.]
State: [0. 9. 5. 2.], Action: 0, Reward: -0.0, Next state: [0.   7.45 6.   2.  ]
State: [0.   7.45 6.   2.  ], Action: 2, Reward: -74.5, Next state: [10.  16.5  7.   2. ]
State: [10.  16.5  7.   2. ], Action: 2, Reward: -165.0, Next state: [20.   28.01  8.    2.  ]
State: [20.   28.01  8.    2.  ], Action: 2, Reward: -280.1, Next state: [30.   29.96  9.    2.  ]
State: [30.   29.96  9.    2.  ], Action: 0, Reward: -0.0, Next state: [30.  39.6 10.   2. ]
State: [30.  39.6 10.   2. ], Action: 2, Reward: -396.0, Next state: [40.   48.15 11.    2.  ]
State: [40.   48.15 11.    2.  ], Action: 2, Reward: -481.5, Next state: [50.   49.93 12.    2.  ]
State: [50.   49.93 12.    2.  ], Action: 2, Reward: -499.3, Next state: [60. 49. 13.  2.]
State: [60. 49. 13.  2.], Action: 0, Reward: -0.0, Next state: [60.   46.01 14.    2.  ]
State: [60.   46.01 14.    2.  ], Action: 0, Reward: -0.0, Next state: [60.   37.57 15.    2.  ]
State: [60.   37.57 15.    2.  ], Action: 0, Reward: -0.0, Next state: [60.   36.45 16.    2.  ]
State: [60.   36.45 16.    2.  ], Action: 0, Reward: -0.0, Next state: [60.   37.99 17.    2.  ]
State: [60.   37.99 17.    2.  ], Action: 0, Reward: -0.0, Next state: [60. 53. 18.  2.]
State: [60. 53. 18.  2.], Action: 0, Reward: -0.0, Next state: [60.   59.69 19.    2.  ]
State: [60.   59.69 19.    2.  ], Action: 0, Reward: -596.9, Next state: [70.   50.09 20.    2.  ]
State: [70.   50.09 20.    2.  ], Action: 0, Reward: -500.90000000000003, Next state: [80. 50. 21.  2.]
State: [80. 50. 21.  2.], Action: 0, Reward: -500.0, Next state: [90.   36.22 22.    2.  ]
State: [90.   36.22 22.    2.  ], Action: 0, Reward: -362.2, Next state: [100.    31.09  23.     2.  ]
State: [100.    31.09  23.     2.  ], Action: 0, Reward: -310.9, Next state: [110.    29.84  24.     2.  ]
State: [110.    29.84  24.     2.  ], Action: 0, Reward: -298.4, Next state: [ 0. 28.  1.  3.]
State: [ 0. 28.  1.  3.], Action: 1, Reward: -280.0, Next state: [10.  24.5  2.   3. ]
State: [10.  24.5  2.   3. ], Action: 1, Reward: -245.0, Next state: [20.   24.15  3.    3.  ]
State: [20.   24.15  3.    3.  ], Action: 1, Reward: -241.5, Next state: [30.   18.99  4.    3.  ]
State: [30.   18.99  4.    3.  ], Action: 0, Reward: -0.0, Next state: [30.  15.5  5.   3. ]
State: [30.  15.5  5.   3. ], Action: 0, Reward: -0.0, Next state: [30.   23.11  6.    3.  ]
State: [30.   23.11  6.    3.  ], Action: 1, Reward: -231.1, Next state: [40.   29.01  7.    3.  ]
