Transition Profile during evaluation with reward shaping:
Q-table shape: (7, 6, 24, 5, 4, 3)
State choice: ['storage_level', 'price', 'hour', 'Day_of_Week', 'Season']
State bin size: [7, 6, 24, 5, 4]
Bins length: 5
Bins: [array([  0.        ,  41.42857143,  82.85714286, 124.28571429,
       165.71428571, 207.14285714, 248.57142857, 290.        ]), array([1.00000000e-02, 2.60683333e+01, 5.21266667e+01, 7.81850000e+01,
       1.04243333e+02, 1.30301667e+02, 1.56360000e+02]), array([ 1.,  2.,  3.,  4.,  5.,  6.,  7.,  8.,  9., 10., 11., 12., 13.,
       14., 15., 16., 17., 18., 19., 20., 21., 22., 23., 24., 25.]), array([0. , 1.2, 2.4, 3.6, 4.8, 6. ]), array([0.  , 0.75, 1.5 , 2.25, 3.  ])]
Discount rate: 0.3998609717152556
Small reward: 46.66566321361543
Large reward: 19475.110376829187
Learning rate: 0.06983140212909128
N episodes: 10
State: [ 0.   16.01  1.    1.  ], Action: 2, Reward: -160.10000000000002, Next state: [10. 11.  2.  1.]
State: [10. 11.  2.  1.], Action: 0, Reward: -0.0, Next state: [10.    9.01  3.    1.  ]
State: [10.    9.01  3.    1.  ], Action: 0, Reward: -0.0, Next state: [10.   7.5  4.   1. ]
State: [10.   7.5  4.   1. ], Action: 0, Reward: -0.0, Next state: [10.  9.  5.  1.]
State: [10.  9.  5.  1.], Action: 0, Reward: -0.0, Next state: [10.    7.45  6.    1.  ]
State: [10.    7.45  6.    1.  ], Action: 0, Reward: -0.0, Next state: [10.  16.5  7.   1. ]
State: [10.  16.5  7.   1. ], Action: 0, Reward: -0.0, Next state: [10.   28.01  8.    1.  ]
State: [10.   28.01  8.    1.  ], Action: 0, Reward: -0.0, Next state: [10.   29.96  9.    1.  ]
State: [10.   29.96  9.    1.  ], Action: 0, Reward: -0.0, Next state: [10.  39.6 10.   1. ]
State: [10.  39.6 10.   1. ], Action: 2, Reward: -396.0, Next state: [20.   48.15 11.    1.  ]
State: [20.   48.15 11.    1.  ], Action: 0, Reward: -0.0, Next state: [20.   49.93 12.    1.  ]
State: [20.   49.93 12.    1.  ], Action: 2, Reward: -499.3, Next state: [30. 49. 13.  1.]
State: [30. 49. 13.  1.], Action: 2, Reward: -490.0, Next state: [40.   46.01 14.    1.  ]
State: [40.   46.01 14.    1.  ], Action: 2, Reward: -460.09999999999997, Next state: [50.   37.57 15.    1.  ]
State: [50.   37.57 15.    1.  ], Action: 1, Reward: -375.7, Next state: [60.   36.45 16.    1.  ]
State: [60.   36.45 16.    1.  ], Action: 2, Reward: -364.5, Next state: [70.   37.99 17.    1.  ]
State: [70.   37.99 17.    1.  ], Action: 0, Reward: -0.0, Next state: [70. 53. 18.  1.]
State: [70. 53. 18.  1.], Action: 0, Reward: -0.0, Next state: [70.   59.69 19.    1.  ]
State: [70.   59.69 19.    1.  ], Action: 0, Reward: -0.0, Next state: [70.   50.09 20.    1.  ]
State: [70.   50.09 20.    1.  ], Action: 0, Reward: -500.90000000000003, Next state: [80. 50. 21.  1.]
State: [80. 50. 21.  1.], Action: 2, Reward: -500.0, Next state: [90.   36.22 22.    1.  ]
State: [90.   36.22 22.    1.  ], Action: 1, Reward: -362.2, Next state: [100.    31.09  23.     1.  ]
State: [100.    31.09  23.     1.  ], Action: 2, Reward: -310.9, Next state: [110.    29.84  24.     1.  ]
State: [110.    29.84  24.     1.  ], Action: 1, Reward: -298.4, Next state: [ 0. 28.  1.  2.]
State: [ 0. 28.  1.  2.], Action: 2, Reward: -280.0, Next state: [10.  24.5  2.   2. ]
State: [10.  24.5  2.   2. ], Action: 0, Reward: -0.0, Next state: [10.   24.15  3.    2.  ]
State: [10.   24.15  3.    2.  ], Action: 0, Reward: -0.0, Next state: [10.   18.99  4.    2.  ]
State: [10.   18.99  4.    2.  ], Action: 0, Reward: -0.0, Next state: [10.  15.5  5.   2. ]
State: [10.  15.5  5.   2. ], Action: 0, Reward: -0.0, Next state: [10.   23.11  6.    2.  ]
State: [10.   23.11  6.    2.  ], Action: 0, Reward: -0.0, Next state: [10.   29.01  7.    2.  ]
State: [10.   29.01  7.    2.  ], Action: 0, Reward: -0.0, Next state: [10.   39.73  8.    2.  ]
State: [10.   39.73  8.    2.  ], Action: 0, Reward: -0.0, Next state: [10.   43.81  9.    2.  ]
State: [10.   43.81  9.    2.  ], Action: 0, Reward: -0.0, Next state: [10.   49.09 10.    2.  ]
State: [10.   49.09 10.    2.  ], Action: 2, Reward: -490.90000000000003, Next state: [20. 51. 11.  2.]
State: [20. 51. 11.  2.], Action: 0, Reward: -0.0, Next state: [20.   53.04 12.    2.  ]
State: [20.   53.04 12.    2.  ], Action: 2, Reward: -530.4, Next state: [30.   49.99 13.    2.  ]
State: [30.   49.99 13.    2.  ], Action: 2, Reward: -499.90000000000003, Next state: [40. 47. 14.  2.]
State: [40. 47. 14.  2.], Action: 2, Reward: -470.0, Next state: [50.   43.21 15.    2.  ]
State: [50.   43.21 15.    2.  ], Action: 1, Reward: -432.1, Next state: [60.   43.99 16.    2.  ]
State: [60.   43.99 16.    2.  ], Action: 2, Reward: -439.90000000000003, Next state: [70. 48. 17.  2.]
State: [70. 48. 17.  2.], Action: 0, Reward: -0.0, Next state: [70. 57. 18.  2.]
State: [70. 57. 18.  2.], Action: 0, Reward: -0.0, Next state: [70.   60.99 19.    2.  ]
State: [70.   60.99 19.    2.  ], Action: 0, Reward: -0.0, Next state: [70.   55.51 20.    2.  ]
State: [70.   55.51 20.    2.  ], Action: 0, Reward: -555.1, Next state: [80.   51.77 21.    2.  ]
State: [80.   51.77 21.    2.  ], Action: 1, Reward: -517.7, Next state: [90.   34.51 22.    2.  ]
State: [90.   34.51 22.    2.  ], Action: 2, Reward: -345.09999999999997, Next state: [100.    39.31  23.     2.  ]
State: [100.    39.31  23.     2.  ], Action: 2, Reward: -393.1, Next state: [110.    38.05  24.     2.  ]
State: [110.    38.05  24.     2.  ], Action: 1, Reward: -380.5, Next state: [ 0.   31.01  1.    3.  ]
State: [ 0.   31.01  1.    3.  ], Action: 2, Reward: -310.1, Next state: [10.   28.69  2.    3.  ]
State: [10.   28.69  2.    3.  ], Action: 0, Reward: -0.0, Next state: [10. 27.  3.  3.]
State: [10. 27.  3.  3.], Action: 0, Reward: -0.0, Next state: [10.  24.2  4.   3. ]
State: [10.  24.2  4.   3. ], Action: 0, Reward: -0.0, Next state: [10.   12.02  5.    3.  ]
State: [10.   12.02  5.    3.  ], Action: 0, Reward: -0.0, Next state: [10. 27.  6.  3.]
State: [10. 27.  6.  3.], Action: 0, Reward: -0.0, Next state: [10. 28.  7.  3.]
State: [10. 28.  7.  3.], Action: 0, Reward: -0.0, Next state: [10.   34.85  8.    3.  ]
State: [10.   34.85  8.    3.  ], Action: 0, Reward: -0.0, Next state: [10.   41.31  9.    3.  ]
State: [10.   41.31  9.    3.  ], Action: 0, Reward: -0.0, Next state: [10.   42.03 10.    3.  ]
State: [10.   42.03 10.    3.  ], Action: 1, Reward: -420.3, Next state: [20. 46. 11.  3.]
State: [20. 46. 11.  3.], Action: 0, Reward: -0.0, Next state: [20.   45.96 12.    3.  ]
State: [20.   45.96 12.    3.  ], Action: 1, Reward: -459.6, Next state: [30.  45.6 13.   3. ]
State: [30.  45.6 13.   3. ], Action: 1, Reward: -456.0, Next state: [40.   42.35 14.    3.  ]
State: [40.   42.35 14.    3.  ], Action: 2, Reward: -423.5, Next state: [50.   40.01 15.    3.  ]
State: [50.   40.01 15.    3.  ], Action: 2, Reward: -400.09999999999997, Next state: [60. 38. 16.  3.]
State: [60. 38. 16.  3.], Action: 1, Reward: -380.0, Next state: [70.   42.66 17.    3.  ]
State: [70.   42.66 17.    3.  ], Action: 0, Reward: -0.0, Next state: [70. 53. 18.  3.]
State: [70. 53. 18.  3.], Action: 0, Reward: -0.0, Next state: [70.   58.99 19.    3.  ]
State: [70.   58.99 19.    3.  ], Action: 2, Reward: -589.9, Next state: [80.  53.5 20.   3. ]
State: [80.  53.5 20.   3. ], Action: 0, Reward: -0.0, Next state: [80.   44.01 21.    3.  ]
State: [80.   44.01 21.    3.  ], Action: 1, Reward: -440.09999999999997, Next state: [90. 35. 22.  3.]
State: [90. 35. 22.  3.], Action: 1, Reward: -350.0, Next state: [100.    34.46  23.     3.  ]
State: [100.    34.46  23.     3.  ], Action: 2, Reward: -344.6, Next state: [110.    31.57  24.     3.  ]
State: [110.    31.57  24.     3.  ], Action: 1, Reward: -315.7, Next state: [ 0. 22.  1.  4.]
State: [ 0. 22.  1.  4.], Action: 2, Reward: -220.0, Next state: [10.  19.5  2.   4. ]
State: [10.  19.5  2.   4. ], Action: 0, Reward: -0.0, Next state: [10.   17.55  3.    4.  ]
State: [10.   17.55  3.    4.  ], Action: 0, Reward: -0.0, Next state: [10.   15.91  4.    4.  ]
State: [10.   15.91  4.    4.  ], Action: 0, Reward: -0.0, Next state: [10.  11.4  5.   4. ]
State: [10.  11.4  5.   4. ], Action: 0, Reward: -0.0, Next state: [10.   22.65  6.    4.  ]
State: [10.   22.65  6.    4.  ], Action: 0, Reward: -0.0, Next state: [10.  27.3  7.   4. ]
State: [10.  27.3  7.   4. ], Action: 0, Reward: -0.0, Next state: [10. 34.  8.  4.]
State: [10. 34.  8.  4.], Action: 0, Reward: -0.0, Next state: [10.   40.01  9.    4.  ]
State: [10.   40.01  9.    4.  ], Action: 0, Reward: -0.0, Next state: [10. 45. 10.  4.]
State: [10. 45. 10.  4.], Action: 0, Reward: -0.0, Next state: [10.   50.34 11.    4.  ]
State: [10.   50.34 11.    4.  ], Action: 0, Reward: -0.0, Next state: [10.   49.84 12.    4.  ]
State: [10.   49.84 12.    4.  ], Action: 2, Reward: -498.40000000000003, Next state: [20.   48.81 13.    4.  ]
State: [20.   48.81 13.    4.  ], Action: 2, Reward: -488.1, Next state: [30.   47.94 14.    4.  ]
State: [30.   47.94 14.    4.  ], Action: 1, Reward: -479.4, Next state: [40.   40.06 15.    4.  ]
State: [40.   40.06 15.    4.  ], Action: 2, Reward: -400.6, Next state: [50. 38. 16.  4.]
State: [50. 38. 16.  4.], Action: 2, Reward: -380.0, Next state: [60.   38.61 17.    4.  ]
State: [60.   38.61 17.    4.  ], Action: 0, Reward: -0.0, Next state: [60.   49.84 18.    4.  ]
State: [60.   49.84 18.    4.  ], Action: 0, Reward: -0.0, Next state: [60. 53. 19.  4.]
State: [60. 53. 19.  4.], Action: 1, Reward: -530.0, Next state: [70.   45.91 20.    4.  ]
State: [70.   45.91 20.    4.  ], Action: 0, Reward: -459.09999999999997, Next state: [80.   36.74 21.    4.  ]
State: [80.   36.74 21.    4.  ], Action: 1, Reward: -367.40000000000003, Next state: [90.   29.61 22.    4.  ]
State: [90.   29.61 22.    4.  ], Action: 2, Reward: -296.1, Next state: [100.    30.61  23.     4.  ]
State: [100.    30.61  23.     4.  ], Action: 2, Reward: -306.1, Next state: [110.    27.51  24.     4.  ]
State: [110.    27.51  24.     4.  ], Action: 0, Reward: -275.1, Next state: [ 0. 25.  1.  5.]
State: [ 0. 25.  1.  5.], Action: 2, Reward: -250.0, Next state: [10.   22.99  2.    5.  ]
State: [10.   22.99  2.    5.  ], Action: 0, Reward: -0.0, Next state: [10.   20.99  3.    5.  ]
State: [10.   20.99  3.    5.  ], Action: 0, Reward: -0.0, Next state: [10. 18.  4.  5.]
