Param Set,Small Reward,Large Reward,Learning Rate,Simulations,Explored,Total Reward
9,10,50,0.01,10,4.32,-7554463.0
2,50000,100000,0.01,10,4.1,-7742259.0
7,100000,200000,0.01,10,4.32,-7574529.0
3,100000,200000,0.05,10,4.32,-7574529.0
4,25000,50000,0.05,10,4.32,-7574529.0
8,25000,50000,0.01,10,4.32,-7574529.0
5,10,50,0.05,10,3.85,-8186549.0
1,50000,100000,0.05,10,4.34,-7557599.0
10,50,100,0.01,10,4.34,-7557599.0
6,50,100,0.05,10,4.35,-7570739.0
8,25000,50000,0.01,1000,3.93,-8460106.0
3,100000,200000,0.05,1000,3.93,-8460106.0
4,25000,50000,0.05,1000,3.99,-8001028.0
9,10,50,0.01,1000,5.22,-6900786.0
10,50,100,0.01,1000,5.21,-6671908.0
5,10,50,0.05,1000,5.22,-7470749.0
7,100000,200000,0.01,1000,4.06,-8794988.0
6,50,100,0.05,1000,5.22,-7546437.0
1,50000,100000,0.05,1000,3.92,-8437458.0
2,50000,100000,0.01,1000,4.06,-8635581.0
