Agent No.,Small Reward,Large Reward,Learning Rate,Simulations,Explored,Total Reward
1,32394,50794,0.01,5,5.89,-6937773.0
7,32394,50794,0.01,10,7.95,0
6,32394,50794,0.01,10,8.09,0
9,32394,50794,0.01,10,9.5,0
5,32394,50794,0.01,10,10.03,0
8,32394,50794,0.01,10,13.02,0
10,32394,50794,0.01,10,17.0,0
4,32394,50794,0.01,10,14.19,0
2,32394,50794,0.01,10,11.81,0
3,32394,50794,0.01,10,8.27,-6431783.0
1,32394,50794,0.01,5,5.79,-6585170.0
8,32394,50794,0.01,10,13.02,0
5,32394,50794,0.01,10,10.19,0
9,32394,50794,0.01,10,9.71,0
10,32394,50794,0.01,10,17.22,0
6,32394,50794,0.01,10,8.17,0
7,32394,50794,0.01,10,7.82,0
4,32394,50794,0.01,10,14.25,0
2,32394,50794,0.01,10,11.51,0
3,32394,50794,0.01,10,8.46,-6324214.0
