Agent No.,Small Reward,Large Reward,Learning Rate,Simulations,Explored,Total Reward
1,0,0,0.01,1000,6.32,-4600067
2,0,0,0.01,1000,9,-4600067
3,0,0,0.01,1000,10.21,-4600067
4,0,0,0.01,1000,16.63,-4600067
5,0,0,0.01,1000,11.69,-4600067
6,0,0,0.01,1000,17.89,-4600067
7,0,0,0.01,1000,10.22,-4600067
8,0,0,0.01,1000,20.3,-4600067
9,0,0,0.01,1000,5.24,-4592218
10,0,0,0.01,1000,6.74,-4583120
11,0,0,0.01,1000,7.64,-4600067
12,0,0,0.01,1000,12.38,-4583120
13,0,0,0.01,1000,14.07,-4600067
14,0,0,0.01,1000,15.33,-4600067
16,0,0,0.01,1000,15.28,-4600067
